level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	822	-1	
2	1	1	0	0	0	426	209	159	47	-1	
3	1	1	1	0	0	426	209	159	47	-1	
4	1	1	1	1	0	426	209	159	47	-1	
5	1	1	1	1	1	426	209	159	47	0.000000	Wb
2	1	2	0	0	0	452	289	79	31	-1	
3	1	2	1	0	0	452	289	81	31	-1	
4	1	2	1	1	0	453	289	75	9	-1	
5	1	2	1	1	1	453	290	41	8	76.435364	SHOULD
5	1	2	1	1	2	509	289	19	9	76.435364	HAVE
4	1	2	1	2	0	452	300	79	9	-1	
5	1	2	1	2	1	452	300	39	9	85.166138	DRAWN
5	1	2	1	2	2	496	301	6	7	69.303780	A
5	1	2	1	2	3	508	300	23	8	57.176674	Few
4	1	2	1	3	0	452	311	58	9	-1	
5	1	2	1	3	1	452	311	26	9	43.301697	Less
5	1	2	1	3	2	483	312	50	8	59.071407	TEETH.
2	1	3	0	0	0	52	253	548	4	-1	
3	1	3	1	0	0	52	253	548	4	-1	
4	1	3	1	1	0	52	253	548	4	-1	
5	1	3	1	1	1	52	253	548	4	95.000000	 
2	1	4	0	0	0	52	261	509	4	-1	
3	1	4	1	0	0	52	261	509	4	-1	
4	1	4	1	1	0	52	261	509	4	-1	
5	1	4	1	1	1	52	261	509	4	95.000000	 
2	1	5	0	0	0	219	98	5	407	-1	
3	1	5	1	0	0	219	98	5	407	-1	
4	1	5	1	1	0	219	98	5	407	-1	
5	1	5	1	1	1	219	98	5	407	95.000000	 
2	1	6	0	0	0	219	98	5	407	-1	
3	1	6	1	0	0	219	98	5	407	-1	
4	1	6	1	1	0	219	98	5	407	-1	
5	1	6	1	1	1	219	98	5	407	95.000000	 
2	1	7	0	0	0	559	264	3	265	-1	
3	1	7	1	0	0	559	264	3	265	-1	
4	1	7	1	1	0	559	264	3	265	-1	
5	1	7	1	1	1	559	264	3	265	95.000000	 
2	1	8	0	0	0	228	265	4	265	-1	
3	1	8	1	0	0	228	265	4	265	-1	
4	1	8	1	1	0	228	265	4	265	-1	
5	1	8	1	1	1	228	265	4	265	95.000000	 
2	1	9	0	0	0	388	265	2	265	-1	
3	1	9	1	0	0	388	265	2	265	-1	
4	1	9	1	1	0	388	265	2	265	-1	
5	1	9	1	1	1	388	265	2	265	95.000000	 
2	1	10	0	0	0	398	311	3	219	-1	
3	1	10	1	0	0	398	311	3	219	-1	
4	1	10	1	1	0	398	311	3	219	-1	
5	1	10	1	1	1	398	311	3	219	95.000000	 
2	1	11	0	0	0	399	512	163	2	-1	
3	1	11	1	0	0	399	512	163	2	-1	
4	1	11	1	1	0	399	512	163	2	-1	
5	1	11	1	1	1	399	512	163	2	95.000000	 
2	1	12	0	0	0	54	526	508	5	-1	
3	1	12	1	0	0	54	526	508	5	-1	
4	1	12	1	1	0	54	526	508	5	-1	
5	1	12	1	1	1	54	526	508	5	95.000000	 
2	1	13	0	0	0	0	538	600	4	-1	
3	1	13	1	0	0	0	538	600	4	-1	
4	1	13	1	1	0	0	538	600	4	-1	
5	1	13	1	1	1	0	538	600	4	95.000000	 
2	1	14	0	0	0	50	43	7	563	-1	
3	1	14	1	0	0	50	43	7	563	-1	
4	1	14	1	1	0	50	43	7	563	-1	
5	1	14	1	1	1	50	43	7	563	95.000000	 
2	1	15	0	0	0	50	43	8	563	-1	
3	1	15	1	0	0	50	43	8	563	-1	
4	1	15	1	1	0	50	43	8	563	-1	
5	1	15	1	1	1	50	43	8	563	95.000000	 
2	1	16	0	0	0	278	627	25	1	-1	
3	1	16	1	0	0	278	627	25	1	-1	
4	1	16	1	1	0	278	627	25	1	-1	
5	1	16	1	1	1	278	627	25	1	95.000000	 
2	1	17	0	0	0	278	629	26	2	-1	
3	1	17	1	0	0	278	629	26	2	-1	
4	1	17	1	1	0	278	629	26	2	-1	
5	1	17	1	1	1	278	629	26	2	95.000000	 
2	1	18	0	0	0	278	620	1	21	-1	
3	1	18	1	0	0	278	620	1	21	-1	
4	1	18	1	1	0	278	620	1	21	-1	
5	1	18	1	1	1	278	620	1	21	95.000000	 
2	1	19	0	0	0	67	638	237	2	-1	
3	1	19	1	0	0	67	638	237	2	-1	
4	1	19	1	1	0	67	638	237	2	-1	
5	1	19	1	1	1	67	638	237	2	95.000000	 
2	1	20	0	0	0	214	630	1	19	-1	
3	1	20	1	0	0	214	630	1	19	-1	
4	1	20	1	1	0	214	630	1	19	-1	
5	1	20	1	1	1	214	630	1	19	95.000000	 
2	1	21	0	0	0	0	0	600	822	-1	
3	1	21	1	0	0	0	0	600	822	-1	
4	1	21	1	1	0	0	0	600	822	-1	
5	1	21	1	1	1	0	0	600	822	95.000000	 
2	1	22	0	0	0	301	539	5	283	-1	
3	1	22	1	0	0	301	539	5	283	-1	
4	1	22	1	1	0	301	539	5	283	-1	
5	1	22	1	1	1	301	539	5	283	95.000000	 
